id,type,space,cluster,supply,demand,capacity,fin_capacity,econ_output
K8s_Control_Plane,hub,technical,Platform,90,72,120,0,0
K8s_Worker_Pool,hub,technical,Platform,95,80,130,0,0
GitLab_Enterprise,hub,technical,SCM,75,60,100,0,0
Harbor_Registry,hub,technical,SCM,70,55,95,0,0
Vault,hub,technical,Secrets,60,45,85,0,0
Kafka_MSK,hub,technical,EventBus,85,70,115,0,0
Prometheus,producer,technical,Observability,80,65,110,0,0
Grafana,consumer,technical,Observability,0,60,90,0,0
Falco,producer,technical,Observability,65,50,85,0,0
Tekton_CI,transit,pipeline,Build,55,48,80,0,0
SAST_SonarQube,transit,pipeline,SecurityGates,45,38,65,0,0
SCA_Snyk,transit,pipeline,SecurityGates,45,38,65,0,0
DAST_OWASP_ZAP,transit,pipeline,SecurityGates,40,32,60,0,0
Cosign_SBOM,transit,pipeline,Delivery,50,42,72,0,0
ArgoCD,transit,pipeline,Delivery,55,48,78,0,0
OPA_Gatekeeper,transit,pipeline,Delivery,60,52,85,0,0
Loki,hub,regulatory,Compliance,40,55,80,75,0
Audit_Trail_Splunk,hub,regulatory,Compliance,45,65,95,90,0
Policy_Reporter,hub,regulatory,Compliance,30,40,65,60,0
DORA_Reporter,hub,regulatory,Compliance,25,35,55,55,0
Release_Velocity,consumer,business,Outcomes,0,0,100,0,85
MTTR,consumer,business,Outcomes,0,0,100,0,90
Customer_Channels,consumer,business,Outcomes,0,0,100,0,100
